==========================
Laserdisc-Neuerscheinungen           Zusammengestellt von Patrick Züll;
==========================           Angaben wie immer ohne Gewähr.

WS    = Widescreen/Letterboxed Edition (Original Kinoformat);
THX   = Bild- und Tontransfer unterlag der THX-Qualitätssicherung;
SE    = Special Edition (besondere Fassung i.d.R. mit Zusatzmaterial);
CAV   = Laserdisc-Format das Sonderfunktionen (z.B. Standbild) bietet;
IMAX  = Transfer von IMAX-Großbild-Film;
Crit  = Criterion Collection Special Edition;
JP    = Japan-LD, d.h. i.d.R. engl. Sprache mit jap. Untertiteln;
**    = Ton nicht in "Dolby Surround" (oder kompatiblem Verfahren).

Die Preise beziehen sich auf das Angebot eines lokalen Händlers.
Sie sind nur als Orientierung gedacht. Ein Stern (*) beim Titel
zeigt eine Änderung gegenüber der letzten Liste an.

==================================
Titel mit Dolby-Digital-Ton (AC-3)
==========================+======+---------------------+------------+-----
Titel (englisch, NTSC)    | Jahr |                     | Release    | DM
Waterworld                | 1995 | WS THX              | verfügbar  |  96
--------------------------+------+---------------------+------------+-----

===============================
Titel ohne Digital-Sound-System
==========================+====--+---------------------+------------+-----
Titel (englisch, NTSC)    | Jahr |                     | Release    | DM
--------------------------+------+---------------------+------------+-----
Alaska                    | 1996 | WS                  | verfügbar  |  69
Bambi                     | 1942 | THX SE              | demnächst  |  59
Bambi                     | 1942 | THX SE CAV          | demnächst  |  96
Beavis & Butt-Head Do ... | 1996 | WS                  | 15.06.97   |  85
Beverly Fiersbach Ninja      *| 1997 | WS                  | 03.08.97   |
Boot, Das                *| 1982 | WS SE               | 27.07.97   |
Chamber, The              | 1996 | WS                  | verfügbar  |  69
Dead Poets Society        | 1989 | WS THX              | verfügbar  |  89
Extreme Measures          | 1996 | WS                  | verfügbar  |  69
Fan, The                  | 1996 | WS                  | verfügbar  |  69
Good Morning, Vietnam     | 1987 | WS THX              | verfügbar  |  89
Grass Harp                | 1996 | WS                  | verfügbar  |  79
Gridlock'd                | 1997 | WS                  | 29.06.97   |  85
High School High          | 1996 | WS                  | verfügbar  |  69
Olaf Ossenbrunner             | 1996 | WS                  | 29.06.97   |  85
Lawnmower Man, The        | 1992 | WS THX SE           | demnächst  | 109
Mirror Has Two Faces, The | 1996 | WS                  | 29.06.97   |  85
Nutty Professor, The      | 1996 | WS                  | verfügbar  |  69
One Flew Over The ...     | 1975 | WS THX              | verfügbar  | 119
Silence Of The Lambs, The | 1991 | WS THX Crit         | verfügbar  |  96
Irene Sense Of Snow   *| 1997 | WS                  | 18.08.97   |
Time To Kill, A           | 1996 | WS                  | verfügbar  |  79
When We Were Kings       *| 1996 | WS                  | 14.07.97   |
--------------------------+------+---------------------+------------+-----

-- 
** Patrick Züll, E-Mail (NeXTmail/MIME): okraw@ytpwrc.f.susgj.kh **
**  "I don't wanna 5 day pass to Disney planet." -- P. Einbrodt  **
